id              name
2307625         HP Functional Testing Tools Quick Test Professional
2307626         HP Functional Testing Tools Winrunner
341             HTMLUnit
2667398         Jira
342             Jmeter
343             JWebUnit
344             Load Runner
2667396         Microsoft Team System - Team Fundation
15628550        MonkeyTalk
345             OpenSTA
2307627         PyMock
2307628         PyUnit
4434919         QUnit
9427113         Robot
7829808         Robotium
346             Sahi
347             Selenium
15120611        Siesta
2667400         SOA Test
2667399         SOAP UI
7829811         Squish
7829812         Telerik test Studio
7829810         TestComplete
7829809         TestDroid Recorder
2667397         TestLink
9427112         TestRail
348             TrackStudio Advance Use
2307629         WATIR
9427104         Web Driver
2307649         AccuRev
2307650         Bazaar
2307651         ClearCase
2307652         CVS
2307653         Git
2307654         Mercurial
2307655         Perforce
2307656         PVCS
647             SourceSafe
2307657         SVN
648             .NET SOAP/binary serialization
649             .NET Web Services
650             .NET XML serialization
362             Apache Axis
363             Apache Axis2
364             Caucho Hessian
365             Crispy
366             gSOAP
367             jUDDI
17767653        Nancy
7829196         Protobuf
9427116         RESTful
2608221         Spring Webservice
368             UDDI4J
15120616        Windows Communication Foundation
15120608        Windows Communication Foundation (WCF)
369             WSIF
370             WSS4J
371             Xfire
372             XINS
383             ActiveBPEL
7223809         Activiti BPM
384             Apache ODE
651             Biztalk
385             Enhydra Shark
386             Intalio BPMS
387             jBoss jBPM
388             ObjectWeb Bonita
389             OpenSymphony OSWorkflow
390             OpenWFE
391             Taverna
392             WfMOpen
15120613        Windows Workflow Foundation
15120607        Windows WorkFlow Foundation (WWF)
652             .NET XML
2608222         Digester
653             DOM
654             DOM Parsers
395             DOM4J
396             JDOM
7829194         Jersey / JAX-RS
397             JiBX
398             JOX
399             Piccolo XML Parser
655             SAX Parsers
400             StAX
401             WoodStox
402             Xerces
2645364         XML Linq
403             XMLBeans
404             XStream
7829195         Xstream
393             XmlBeans,Jibx or similar (Binding XML to Java Code)
394             XSLT
528             Benefits & Bonuses
527             Career Plans
529             Induction
531             Knowledge management
530             Training
656             .NET MBI
1               Application server architecture
2               Farms, Clusters
3               Jboss
4               Jetty
5               Resin
6               Roxen
7               WebSphere Server or Process Coreographer
8               Ant
7829190         Bamboo
9               Continuum
10              Cruise Control
9427102         Glu
9427103         Gradle
2337833         Hudson
9427105         Jenkins
11              LuntBuild
12              Maven
657             MSBuild
658             Nant
659             Nmaven
785             Pake
784             Phing
29              CVS Administration
4434939         Maven 2.2
4434938         Review Board
4434936         Scrumy for Agile project management
4434937         Subversion
30              SVN Administration
753             Automation
754             Build Systems
755             Distributed Builds
756             Open Source
7223803         Protocolo SMPP
660             Sockets TCP/IP
31              Alfresco
32              Apache Lenya
15120630        CQ5
33              DotCMS
2667395         DotNetNuke
777             Drupal
7829210         EMC Documentum
34              eXo Platform
35              Gridsphere
36              Hippo CMS
37              InfoGlue
38              Jakarta JetSpeed-2
39              Jakarta Pluto
40              Jboss Portal
778             Joomla
661             Kentico CMS
41              Liferay
4792319         Magento
42              Magnolia
779             Mambo
43              Nuxeo ECM
44              OpenCMS
15120628        Orchard
780             PHP-Nuke
781             PostNuke
5092147         SharePoint 2010
14642601        SharePoint 2013
2307642         SharePoint Portal Server 2007
662             Sharepoint Portal Services
15120627        Sitecore
782             Typo3
15120626        Umbraco
45              uPortal
663             Windows Sharepoint Services
15120629        Wordpress
783             XOOPS
52              Apache Derby
7223796         Apache Hadoop
7223799         Apache Hive
7223797         Apache Map Reduce
7223798         Apache Pig
53              Berkeley DB
54              Berkeley DB Java Edition
55              Berkeley DB XML
2608224         CouchDb
2608223         Databases - SQLite
56              DB2 configuration & administration
57              DB2 Stored Procs
58              DB4O
664             DTS packages
59              eXist
60              Firebird
9427109         Greenplum
61              HSQLDB
9427111         Informatica
62              Informix configuration & administration
63              Informix Stored Procs
64              Ingres
65              MySQL configuration & administration
66              MySQL Stored Procs
7829212         Net SQL Azman
67              Oracle configuration & administration
68              Oracle PLSQL/Stored Procs
69              POSTGRESQL configuration & administration
70              POSTGRESQL Stored Procs
71              Progress configuration & administration
72              Progress Stored Procs
73              SQL
665             SQL SERVER managed code
666             SQL Server Triggers
